Title,Product_price,Info,Additional Details,Product Details,Product_link,Asin,Image Link,Seller Name,Seller link
"Visions India Unisex Rectangle Gray Rimless Power Reading Glasses (+2.50, C03, 001)","₹566
00 (
₹113.20 / count)","Frame Material: Metal, Frame Colour: Gray, Frame Shape: Rectangle
Pack of Reading Glass, Cover & Cleaning Cloth
Unisex reading glasses: Ideal for men and women
Frame Dimension : 51-17-138
Deliver clear vision with the everyday comfort",,"Is Discontinued By Manufacturer : No
Product Dimensions : 3 x 1.8 x 4 cm; 500 Grams
Date First Available : 3 September 2018
Manufacturer : VisionsIndia
ASIN : B07H33BZ89
Item model number : 001-Gray+2.50
Country of Origin : India
Manufacturer : VisionsIndia
Item Weight : 500 g
Item Dimensions LxWxH : 30 x 18 x 40 Millimeters
Net Quantity : 5 count",https://www.amazon.in/dp/B07H31DC4Q,B07H31DC4Q,"['https://m.media-amazon.com/images/G/31/HomeCustomProduct/360_icon_73x73v2._CB485971317_SS40_FMpng_RI_.png', 'https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/21IEubj3HLL._SS40_.jpg', 'https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/21cy+dZh7lL._SS40_.jpg', 'https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/21C+fjUqpgL._SS40_.jpg', 'https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/31Gmnx2wYWL._SS40_.jpg', 'https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/41zDjCvpUFL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif', 'https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/01WIcOAzEoL._SS60_.jpg', 'https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/01RuTm6KddL._SS60_.jpg']",,
"Visions India Unisex Rectangle Gray Rimless Power Reading Glasses (+2.50, C03, 001)","₹566
00 (
₹113.20 / count)","Frame Material: Metal, Frame Colour: Gray, Frame Shape: Rectangle
Pack of Reading Glass, Cover & Cleaning Cloth
Unisex reading glasses: Ideal for men and women
Frame Dimension : 51-17-138
Deliver clear vision with the everyday comfort",,"Is Discontinued By Manufacturer : No
Product Dimensions : 3 x 1.8 x 4 cm; 500 Grams
Date First Available : 3 September 2018
Manufacturer : VisionsIndia
ASIN : B07H33BZ89
Item model number : 001-Gray+2.50
Country of Origin : India
Manufacturer : VisionsIndia
Item Weight : 500 g
Item Dimensions LxWxH : 30 x 18 x 40 Millimeters
Net Quantity : 5 count",https://www.amazon.in/dp/B07H316VVS,B07H316VVS,"['https://m.media-amazon.com/images/G/31/HomeCustomProduct/360_icon_73x73v2._CB485971317_SS40_FMpng_RI_.png', 'https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/21IEubj3HLL._SS40_.jpg', 'https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/21cy+dZh7lL._SS40_.jpg', 'https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/21C+fjUqpgL._SS40_.jpg', 'https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/31Gmnx2wYWL._SS40_.jpg', 'https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/41zDjCvpUFL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif', 'https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/01WIcOAzEoL._SS60_.jpg', 'https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/01RuTm6KddL._SS60_.jpg']",,
